Date,Actual,ARIMA,SARIMA,LSTM
2023-10-16,135.27513122558594,127.85738450722874,134.82267916488684,137.33594
2023-10-17,136.4073486328125,127.85738450722874,134.72012780428548,137.26735
2023-10-18,134.9305419921875,127.85738450722874,134.95445668923293,137.2755
2023-10-19,134.88131713867188,127.85738450722874,134.89184590108707,137.17397
2023-10-20,132.12461853027344,127.85738450722874,134.83933746132823,137.03406
2023-10-21,131.6323445638021,127.85738450722874,134.8361503258206,136.89556000000002
2023-10-22,131.14007059733072,127.85738450722874,134.832963190313,136.75706
2023-10-23,130.64779663085938,127.85738450722874,134.82977605480536,136.61856
2023-10-24,129.90940856933594,127.85738450722874,135.10578025701813,136.29323
2023-10-25,129.1710205078125,127.85738450722874,135.38178445923091,135.9679
2023-10-26,126.85736846923828,127.85738450722874,135.69925268274784,135.09608
2023-10-27,130.15553283691406,127.85738450722874,135.7063010364233,133.95529
